,0,0.45,0.9,1.35,1.8,2.25,2.7,3.15,3.6,4.05,4.5,4.95,5.4,5.85,6.3,6.75,7.2,7.65,8.1,8.55,9,9.45,9.9,10.35,10.8,11.25,11.7,12.15,12.6,13.05,13.5,13.95,14.4,14.85,15.3,15.75,16.2,16.65,17.1,17.55,18,18.45,18.9,19.35,19.8,20.25,20.7,21.15,21.6,22.05,22.5,22.95,23.4,23.85,24.3,24.75,25.2,25.65,26.1,26.55,27,27.45,27.9,28.35,28.8,29.25,29.7,30.15,30.6,31.05,31.5,31.95,32.4,32.85,33.3,33.75,34.2,34.65,35.1,35.55,36,36.45,36.9,37.35,37.8,38.25,38.7,39.15,39.6,40.05,40.5,40.95,41.4,41.85,42.3,42.75,43.2,43.65,44.1,44.55,45,45.45,45.9,46.35,46.8,47.25,47.7,48.15,48.6,49.05,49.5,49.95,50.4,50.85,51.3,51.75,52.2,52.65,53.1,53.55,54,54.45
0,0.069067551,0.07057032,0.069668663,0.069007439,0.068887215,0.067384438,0.06534066,0.066723213,0.074056763,0.068406326,0.066963661,0.06852655,0.06798555,0.069187767,0.071291656,0.069127655,0.068165886,0.072914658,0.072193321,0.069608543,0.073155098,0.070269768,0.069909103,0.071832649,0.07267421,0.072073097,0.073876427,0.071532104,0.074477539,0.077543205,0.073034874,0.074657875,0.076401093,0.076220764,0.079526863,0.075379204,0.079045975,0.075138763,0.075860092,0.080608856,0.079586967,0.077483086,0.082532417,0.07760331,0.076821861,0.078805534,0.082412193,0.081510536,0.078565094,0.079045967,0.080548752,0.081931305,0.081149857,0.082532417,0.080668976,0.082352074,0.081089745,0.08307341,0.083253746,0.085297523,0.07814431,0.080789192,0.082532417,0.080909416,0.081750969,0.081330185,0.082472305,0.078264534,0.078504974,0.079286423,0.080248199,0.078504974,0.079346527,0.079887527,0.082652634,0.079707199,0.079166199,0.078264534,0.078024086,0.078925758,0.080248192,0.073876427,0.077783646,0.079947647,0.076461205,0.079406639,0.074958427,0.073936539,0.073215202,0.073936539,0.071652321,0.072974762,0.073275322,0.070149544,0.071832657,0.073635986,0.073275322,0.072073097,0.071832657,0.073696098,0.069848991,0.07032988,0.069127655,0.070510216,0.068827103,0.070029327,0.06852655,0.066843445,0.068646774,0.071652321,0.068706879,0.067624886,0.069848991,0.067624886,0.067204102,0.066843437,0.067324326,0.068466438,0.068045662,0.066542892,0.067564774,0.068165886
0.45,0.067925438,0.066542885,0.069909103,0.070450104,0.069187767,0.068887215,0.068827103,0.067805214,0.067264221,0.068105774,0.069127655,0.066061996,0.069969208,0.069007439,0.066963661,0.070991096,0.06822599,0.069728767,0.070089439,0.069548439,0.071291656,0.070930992,0.071832657,0.07345565,0.073275322,0.075319084,0.071051216,0.074537651,0.073756203,0.07345565,0.073816315,0.07345565,0.07345565,0.076581421,0.076761757,0.079226311,0.078204422,0.078805534,0.079166199,0.07784375,0.078264542,0.077422981,0.083794739,0.077002197,0.080849304,0.079346527,0.079647087,0.082051529,0.081991409,0.07760331,0.078925758,0.081991425,0.080308311,0.082772858,0.080789192,0.080007759,0.081330185,0.081630745,0.080308296,0.083193634,0.083734642,0.081330185,0.083554306,0.082291969,0.083013298,0.080789192,0.081450417,0.080668976,0.081089745,0.07874543,0.079586967,0.080789192,0.080969536,0.08391497,0.079707199,0.08048864,0.079707199,0.079286423,0.080188087,0.07579998,0.081690865,0.077783646,0.079647087,0.078865639,0.075860092,0.07790387,0.076581421,0.075980316,0.076220764,0.079045975,0.075920204,0.07525898,0.073756203,0.074477539,0.073515762,0.071712433,0.071832657,0.070089439,0.070630432,0.069608543,0.071652321,0.067624886,0.071051216,0.071652321,0.072193321,0.069187767,0.069368103,0.066482773,0.067624886,0.067745102,0.067324333,0.067143997,0.069368103,0.069488327,0.066001884,0.068646774,0.069007439,0.068346214,0.06852655,0.066663109,0.067684998,0.067504662
0.9,0.067624886,0.06798555,0.06852655,0.067204102,0.069608543,0.067564774,0.069668663,0.06798555,0.063837887,0.068466438,0.068706879,0.068887215,0.068586655,0.069127655,0.068466438,0.07087088,0.068646774,0.069548439,0.069608543,0.072193321,0.069428215,0.072553986,0.068466438,0.071532104,0.069127655,0.07267421,0.073696098,0.074477539,0.074537651,0.073635986,0.074297211,0.075980316,0.074417427,0.076040428,0.077122421,0.077302757,0.079586967,0.078925758,0.079947647,0.076701645,0.07868531,0.08102964,0.079707199,0.076340973,0.078324646,0.079045975,0.081931305,0.080789185,0.083133522,0.080729088,0.079166199,0.078625198,0.079526863,0.084035187,0.078024086,0.076461197,0.080248199,0.081931305,0.082652634,0.081931305,0.080729088,0.078024086,0.082532417,0.082472305,0.083554306,0.079286407,0.079286423,0.080608856,0.083734642,0.083674522,0.082412193,0.080188087,0.081630745,0.077783646,0.081089745,0.077963982,0.077062309,0.080007751,0.079647087,0.075920204,0.080789192,0.079707199,0.079045975,0.077663422,0.07844487,0.080729088,0.075920204,0.075078651,0.077002197,0.076701653,0.076461205,0.073034874,0.073635986,0.071712425,0.070510216,0.072854538,0.071532104,0.069307999,0.070690544,0.069428215,0.069548439,0.069187767,0.071171432,0.069368103,0.069668663,0.067865326,0.069187767,0.069127655,0.070750656,0.068947319,0.070029327,0.068586662,0.06822599,0.068286102,0.067805222,0.06744455,0.066723213,0.070690544,0.066963661,0.070389992,0.068466438,0.067324333
1.35,0.068766991,0.065521004,0.069848991,0.067204109,0.069969215,0.071772545,0.066843437,0.067624886,0.068706879,0.069909103,0.065460884,0.068045662,0.068466438,0.067624886,0.066843437,0.070149544,0.06828611,0.069307991,0.06822599,0.071832657,0.069307991,0.070029327,0.069428215,0.070029327,0.069668663,0.072012985,0.074237091,0.07321521,0.071351761,0.074357315,0.075439316,0.07345565,0.074357315,0.077422981,0.078084198,0.075860092,0.076280861,0.07844487,0.07844487,0.07784375,0.07874543,0.078264534,0.07814431,0.078504974,0.08102964,0.07898587,0.082532417,0.081630745,0.081089745,0.081330185,0.084936859,0.083193634,0.083434082,0.082712753,0.081750977,0.083794746,0.082412193,0.085357628,0.082472305,0.080969536,0.082532417,0.080248192,0.080007751,0.081570633,0.07784375,0.080188087,0.080969536,0.081750969,0.083193634,0.082652634,0.079466759,0.079707199,0.080127975,0.081991425,0.081750969,0.080789192,0.077422981,0.07838475,0.079466759,0.075739868,0.075739876,0.079346527,0.077362862,0.075679764,0.07868531,0.076461197,0.074898315,0.077062317,0.076701653,0.075739868,0.072974762,0.076160645,0.072012985,0.072012985,0.072193321,0.070209656,0.072914658,0.070269768,0.069909103,0.071291656,0.070029327,0.06822599,0.06744455,0.066302444,0.068105774,0.068466438,0.067384438,0.065220444,0.066122108,0.066663109,0.065581108,0.065821556,0.065581108,0.069788879,0.066242332,0.066061996,0.070209656,0.067204102,0.070450104,0.068766991,0.069848991,0.067384438
1.8,0.065160332,0.067745102,0.066482773,0.069428215,0.065581108,0.065581108,0.067805222,0.066302444,0.067204109,0.068045662,0.067264221,0.066122108,0.066963661,0.066482773,0.064919884,0.069368103,0.068406326,0.070089432,0.069548431,0.070810768,0.067624886,0.069307991,0.073575874,0.070750656,0.070389992,0.072133209,0.071652321,0.073756203,0.074597755,0.074116875,0.073094986,0.07267421,0.076881981,0.079647087,0.07868531,0.077182533,0.079466759,0.079707199,0.07814431,0.078565079,0.076701653,0.07844487,0.077302757,0.078565094,0.080067863,0.080849304,0.083253754,0.079827415,0.082893082,0.082953194,0.084395851,0.079466759,0.082111633,0.07898587,0.081570633,0.085598068,0.08307341,0.079767303,0.080789192,0.082532417,0.083373962,0.080488647,0.082472305,0.082051529,0.083854851,0.082111633,0.083674522,0.086379517,0.082772858,0.080909416,0.082231865,0.081690865,0.082412193,0.080608856,0.079767303,0.079947647,0.081811073,0.078865639,0.081630745,0.077483086,0.07898587,0.081390305,0.078865639,0.080007751,0.076761757,0.076821869,0.076040428,0.078324638,0.079406639,0.076581421,0.074657875,0.071051216,0.072974762,0.073816322,0.070329872,0.071772545,0.07267421,0.072974762,0.07057032,0.068947327,0.071351768,0.070450104,0.072974762,0.069969208,0.066963661,0.067264221,0.068766991,0.066542892,0.066663109,0.067925446,0.06540078,0.066542892,0.066242332,0.065821548,0.064499115,0.066903557,0.07057032,0.067143997,0.066242332,0.071051216,0.067865326,0.065160332
2.25,0.070389992,0.071051208,0.068827103,0.068887215,0.066602997,0.068165886,0.064138443,0.067264221,0.067384438,0.065941772,0.065701324,0.066602997,0.065881668,0.066362549,0.065460892,0.06798555,0.065581108,0.068045662,0.069909103,0.070149544,0.066242332,0.069728767,0.069488327,0.072493874,0.070389992,0.071832657,0.072253433,0.073515762,0.073155098,0.070450096,0.07141188,0.076521317,0.073575867,0.079887527,0.076641533,0.076821869,0.080668976,0.079406639,0.07844487,0.077543205,0.078084198,0.081209976,0.077422981,0.075138763,0.080188087,0.080308311,0.082772858,0.080729088,0.079106087,0.082171745,0.080308311,0.07868531,0.082652634,0.081270081,0.081991409,0.081149857,0.083434082,0.083133522,0.082592522,0.083313858,0.082652634,0.079406639,0.084215523,0.081390305,0.079106087,0.082051529,0.084996971,0.081089745,0.080789192,0.080608856,0.08102964,0.079827423,0.080909416,0.081390305,0.080368416,0.080248199,0.082111633,0.07760331,0.078324638,0.07790387,0.080308296,0.078204422,0.078204422,0.073816322,0.078985863,0.077483093,0.076280869,0.077182533,0.075138763,0.073215202,0.07237365,0.07345565,0.074657875,0.072253433,0.07237365,0.072193321,0.07032988,0.071652321,0.069848991,0.06822599,0.068165886,0.066602997,0.070630432,0.067083885,0.06798555,0.069608543,0.066903557,0.06618222,0.066602997,0.06798555,0.063296894,0.066843437,0.066001884,0.064499115,0.064258667,0.06822599,0.067264221,0.068766991,0.068646774,0.068466438,0.067865326,0.068165886
2.7,0.067023773,0.069909103,0.066663109,0.068766991,0.07057032,0.069969208,0.069848991,0.069247879,0.066843437,0.066122108,0.066422668,0.065521004,0.06534066,0.065941772,0.067925438,0.067805214,0.065521004,0.067564774,0.069548431,0.070029327,0.07032988,0.069848991,0.069848991,0.06822599,0.071051216,0.070930984,0.072493874,0.06852655,0.072553986,0.073756203,0.072854538,0.077783646,0.075739868,0.076581421,0.077182533,0.079947647,0.078625198,0.078805527,0.078504974,0.077483086,0.080248192,0.078805527,0.082832962,0.08102964,0.080909416,0.078925758,0.08102964,0.080789192,0.079286407,0.080969536,0.081630745,0.081570641,0.082772858,0.082111633,0.08487674,0.085778404,0.082592522,0.084335747,0.08331385,0.082592522,0.083434082,0.083253754,0.083794739,0.082592522,0.082472305,0.083794746,0.080668976,0.082051529,0.082832962,0.082051529,0.079586967,0.079586967,0.081450417,0.07844487,0.079045967,0.07784375,0.081390305,0.079166199,0.080909416,0.076040428,0.080067856,0.079767303,0.080428528,0.07814431,0.07754319,0.079586967,0.077062309,0.076340973,0.074778091,0.074597763,0.073575874,0.073335434,0.073094986,0.074357315,0.071712425,0.071171432,0.068586655,0.068646774,0.069488327,0.068346214,0.066422668,0.069368103,0.067624886,0.070930992,0.069067551,0.066001884,0.066362549,0.070149544,0.065160332,0.064198555,0.06510022,0.066061996,0.068165886,0.065761444,0.067143997,0.067143997,0.067143997,0.067805222,0.069728767,0.068466438,0.06798555,0.070510216
3.15,0.069548439,0.070029327,0.068045662,0.067805214,0.067684998,0.067083885,0.067143997,0.065701324,0.066602997,0.069007439,0.067684998,0.063958115,0.068165886,0.063837887,0.064739555,0.06534066,0.066542892,0.068706879,0.066723213,0.072553993,0.068165886,0.073034874,0.072553993,0.070209656,0.070750656,0.071652321,0.073756203,0.072313545,0.073034874,0.073335426,0.078504974,0.077182533,0.074417427,0.074537651,0.078925758,0.079947647,0.078925758,0.07898587,0.07898587,0.080308296,0.07844487,0.080969536,0.079466759,0.081690865,0.082532417,0.078865639,0.080188087,0.08283297,0.082412193,0.076942093,0.08307341,0.082111633,0.078504974,0.083734642,0.081991425,0.082051529,0.080127975,0.084516075,0.083253746,0.081270081,0.082652634,0.080308311,0.07868531,0.082592522,0.082291969,0.078625198,0.08307341,0.079226303,0.078625198,0.080308296,0.079647087,0.080608856,0.07838475,0.082171745,0.079346527,0.082352074,0.080067856,0.07784375,0.08048864,0.076280869,0.078805534,0.078925758,0.076581421,0.078264534,0.075860092,0.075319099,0.076100533,0.073635986,0.078024086,0.075619652,0.075078651,0.072914658,0.073756203,0.074838203,0.073155098,0.071712425,0.068887215,0.069668663,0.069909103,0.066963661,0.069307991,0.067143997,0.067504662,0.066602997,0.06822599,0.067204102,0.06534066,0.064499115,0.064198555,0.065460892,0.066362549,0.065521004,0.065220444,0.067384438,0.064258667,0.06534066,0.07057032,0.066602997,0.06564122,0.066602997,0.070930992,0.069247879
3.6,0.067684998,0.07141188,0.071832657,0.068887215,0.067264221,0.070089432,0.065460884,0.066963661,0.064739555,0.064198555,0.067204102,0.064799667,0.067083885,0.065040115,0.065280556,0.065460892,0.066362549,0.069488327,0.066242332,0.06822599,0.06744455,0.069067551,0.070810768,0.069668663,0.070389992,0.073275322,0.071592209,0.070389992,0.071051208,0.071892769,0.076280869,0.074417427,0.079586967,0.076280869,0.080248199,0.077723541,0.07844487,0.078865639,0.078324638,0.080188087,0.082111633,0.078565079,0.080127975,0.082772858,0.078504974,0.080067863,0.084275635,0.080729088,0.079827415,0.081450417,0.079827415,0.082592522,0.084696411,0.081630745,0.081209976,0.083854851,0.085297508,0.082652634,0.081811073,0.084155411,0.080849304,0.080428528,0.083554291,0.079045975,0.080428528,0.080127975,0.079045975,0.081510529,0.07844487,0.079586967,0.082652634,0.081811081,0.078084198,0.080007751,0.080909416,0.080909416,0.080127975,0.07814431,0.081149857,0.07868531,0.079887527,0.081630745,0.078084198,0.076521317,0.076821861,0.078204422,0.078504974,0.073816315,0.073335434,0.07874543,0.074116875,0.073696098,0.072794426,0.073094986,0.071231544,0.069187767,0.069247879,0.068706879,0.068406326,0.066482773,0.067564774,0.067504662,0.070209656,0.06852655,0.067805214,0.06618222,0.064979996,0.066242332,0.067745102,0.06618222,0.066963661,0.067204109,0.066362549,0.067684998,0.066963661,0.067564774,0.067624886,0.066422661,0.067805214,0.068887215,0.068105774,0.070450104
