x, y
0, 0.9468084151197742
5.595875383940353, 0.9468084151197742
11.658038139060508, 0.9521276344806185
18.18654163158334, 0.960106387430858
24.715045124106098, 0.9680850642900699
31.24352193351755, 0.9867020276889162
36.83939731745787, 0.9973403903195778
41.7357482537386, 0.9787232747386767
45.23315702714563, 0.9361702046711674
48.031094719115764, 0.8829786197909414
50.12953464653772, 0.8244680438229531
51.761660519668446, 0.765957467854965
53.16062936565349, 0.7074467397049221
54.32644118449296, 0.6436169443760894
55.49222632022108, 0.574468081868467
56.658038139060515, 0.4999999239089727
57.59066624764301, 0.43882973826056226
58.756478066482444, 0.37234048543336196
60.15544691246754, 0.292553260295078
61.554415758452606, 0.21542556874618882
63.18654163158331, 0.14095741078669421
65.28498155900527, 0.07446815795949432
68.31607627812103, 0.02659564025805814
72.97927018725613, 0.007978752950239316
77.87564780664825, 0
82.77202542604034, 0
86.50259122659297, 0
