x, y
3.703637697704199, 0.9984273875210083
7.521819602779985, 0.9926915830618868
10.521822123359398, 0.9869558147052762
13.794546527800525, 0.9754842057870331
16.930916856766398, 0.9640126329713009
19.930912510890202, 0.9496731489003802
23.067282839856077, 0.9324657535742713
26.067278493979877, 0.9095226440453177
28.79455226424195, 0.8894473735665311
31.521826034504038, 0.8650702001024508
34.112731996379644, 0.8406931349459031
36.56728388278, 0.8134480863291453
38.88545422788266, 0.7890710211725975
41.34000611428302, 0.7589580974031621
43.79454426777217, 0.7274112180061324
46.52181803803425, 0.6915625439313416
48.703634307661666, 0.655713869856551
51.021818385675545, 0.6198650874742277
53.34000246368944, 0.5811485382467594
55.7945543500898, 0.5409979972891861
57.97637061971721, 0.4994135368065293
60.43090877320634, 0.4535271733385789
63.02181473508196, 0.40333905129537845
64.93090912084766, 0.36318851033780497
67.11272539047508, 0.32160390544510487
69.29455539301371, 0.2757176863871979
71.47637166264113, 0.22983132291924757
73.65818793226853, 0.18681287070648572
75.7036363935095, 0.14522833801880736
77.47636297088872, 0.10507786926625544
79.24908954826795, 0.06636124783376555
81.70364143466831, 0.026210620568627274
83.40000508117639, 0.010094876021875145
85.32000310363748, 0.002523755107593176
87.24000112609855, 0
